word,reading,consensus_level,level_votes,family_level_votes,reference_sources,reference_families,support_count,candidate_type,example_meaning,relation_type,same_reading_current_forms,same_word_current_readings,jmdict_current_forms,jmdict_current_readings,jmdict_current_levels,jmdict_all_forms,jmdict_resolved,evidence_confidence,jmdict_exact_form_reading,jmdict_writing_common,jmdict_reading_common,jmdict_waller_levels,level_conflict_with_jmdict_waller,jmdict_tags,jmdict_pos,jmdict_gloss,quality_decision,priority,quality_reason,source_check_decision,source_check_reason,pinned_tc_meaning,publish_level,level_status,defer_reason
いってらっしゃい,いってらっしゃい,N2,"{""N2"": 1}","{""waller-derived"": ""N2""}",waller,waller-derived,1,kana/loanword,,fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N2,no,often in response to いってきます | uk:word usually written using kana alone,int:interjection (kandoushi),have a good day; take care; see you,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N2,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
行ってらっしゃい,いってらっしゃい,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,"have a nice day, see you",fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N2,no,often in response to いってきます | uk:word usually written using kana alone,int:interjection (kandoushi),have a good day; take care; see you,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N2,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
おさきに,おさきに,N2,"{""N2"": 1}","{""waller-derived"": ""N2""}",waller,waller-derived,1,kana/loanword,"before,ahead,previously",fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N2,no,abbr:abbreviation | pol:polite (teineigo) language,"adv:adverb (fukushi)|exp:expressions (phrases, clauses, etc.)",before; previously; ahead; pardon me for leaving (before you),ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N2,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
おやすみ,おやすみ,N2,"{""N2"": 1}","{""waller-derived"": ""N2""}",waller,waller-derived,1,kana/loanword,"(1) holiday,absence,rest,(2) (exp) Good night",fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N2,no,abbr:abbreviation | hon:honorific or respectful (sonkeigo) language | pol:polite (teineigo) language | uk:word usually written using kana alone,int:interjection (kandoushi)|n:noun (common) (futsuumeishi),holiday; day off; absence; sleep; rest; good night,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N2,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
ごくろうさま,ごくろうさま,N2,"{""N2"": 1}","{""waller-derived"": ""N2""}",waller,waller-derived,1,kana/loanword,Thank you very much for your....,fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N2,no,pol:polite (teineigo) language | usu. to one's subordinate,"adj-na:adjectival nouns or quasi-adjectives (keiyodoshi)|exp:expressions (phrases, clauses, etc.)",thank you (for your hard work); I appreciate your efforts,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N2,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
水曜,すいよう,N2,"{""N2"": 1}","{""waller-derived"": ""N2""}",openjlpt|waller,waller-derived,1,lexical,Wednesday,fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N2,no,,n:noun (common) (futsuumeishi),Wednesday,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N2,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
点ける,つける,N2,"{""N2"": 1}","{""waller-derived"": ""N2""}",openjlpt|waller,waller-derived,1,lexical,to turn on; to switch on; to light up,same-reading-different-writing,付ける|就ける|漬ける|点[つ]ける|着ける,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N2,no,uk:word usually written using kana alone,v1:Ichidan verb|vt:transitive verb,to turn on; to switch on; to light up,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N2,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
乗り越し,のりこし,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,riding past (one's station),fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,,no,,n:noun (common) (futsuumeishi),riding past (one's station),ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N2,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
わりあいに,わりあいに,N2,"{""N2"": 1}","{""waller-derived"": ""N2""}",waller,waller-derived,1,kana/loanword,comparatively,fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N2,no,,adv:adverb (fukushi),comparatively,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N2,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
家主,いえぬし,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,lexical,landlord,fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,no,N2,yes,,n:noun (common) (futsuumeishi),landlord; landlady; house owner; home owner; head of the household,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N1,estimated-conflict,no-reliable-traditional-chinese-meaning-after-full-source-scan
域外,いきがい,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,lexical,outside the area,same-reading-different-writing,生きがい,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N1,no,,adj-no:nouns which may take the genitive case particle 'no'|n:noun (common) (futsuumeishi),outside the area,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N1,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
碑,いしぶみ,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,lexical,stone monument bearing an inscription,fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N1,no,,n:noun (common) (futsuumeishi),stone monument bearing an inscription (esp. memorial for future generations); stele; stela,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N1,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
員,いん,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,lexical,member,same-reading-different-writing,印|韻,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N1,no,,"n-suf:noun, used as a suffix|n:noun (common) (futsuumeishi)",member,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N1,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
うぬぼれ,うぬぼれ,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,kana/loanword,"pretension, conceit, hubris",fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N1,no,,n:noun (common) (futsuumeishi),conceit; vanity; pride; self-importance; egotism,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N1,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
自惚れ,うぬぼれ,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,lexical,pretension; conceit; hubris,fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N1,no,,n:noun (common) (futsuumeishi),conceit; vanity; pride; self-importance; egotism,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N1,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
園,えん,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,lexical,garden (esp. man-made),same-reading-different-writing|same-writing-different-reading,円|塩|燕|縁|艶,その,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N1,no,abbr:abbreviation,"n-suf:noun, used as a suffix|n:noun (common) (futsuumeishi)",garden; orchard; park; plantation; kindergarten; nursery school,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N1,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
書き取り,かきとり,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,lexical,dictation,fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N2,yes,,n:noun (common) (futsuumeishi),writing down from other written material; writing kanji text from hiragana; transcription (of spoken material); dictation,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N1,estimated-conflict,no-reliable-traditional-chinese-meaning-after-full-source-scan
画,かく,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,lexical,stroke,same-reading-different-writing,掻く|描く|搔[か]く|書く|核|格|欠く|角,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N1,no,,ctr:counter|n:noun (common) (futsuumeishi),stroke (of a kanji),ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N1,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
畏まりました,かしこまりました,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,lexical,certainly!,fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N2,yes,"in response to a request or instructions from a superior, customer, etc. | pol:polite (teineigo) language | uk:word usually written using kana alone","exp:expressions (phrases, clauses, etc.)",certainly!; very well; with pleasure; understood!,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N1,estimated-conflict,no-reliable-traditional-chinese-meaning-after-full-source-scan
過多,かた,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,lexical,excess; superabundance,same-reading-different-writing,型|方|肩,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N1,no,,adj-na:adjectival nouns or quasi-adjectives (keiyodoshi)|n:noun (common) (futsuumeishi),excess; surplus; superabundance,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N1,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
雅致,がち,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,lexical,artistry; good taste; elegance,fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N1,no,,n:noun (common) (futsuumeishi),artistry; good taste; elegance; grace,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N1,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
がる,がる,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",waller,waller-derived,1,kana/loanword,feel,fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N1,no,following adj. stem | following adj. stem or noun,suf:suffix|v5r:Godan verb with 'ru' ending,to show signs of being; to feel; to think; to behave as if one were; to pretend; to act as if,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N1,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
奇数,きすう,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,lexical,odd number,fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N1,no,,adj-no:nouns which may take the genitive case particle 'no'|n:noun (common) (futsuumeishi),odd number,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N1,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
共産,きょうさん,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,lexical,communism,fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N1,no,abbr:abbreviation,n:noun (common) (futsuumeishi),communism; Communist Party,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N1,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
禁ずる,きんずる,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,lexical,to forbid; to suppress,fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N1,no,usu. as 禁じ得ない,vt:transitive verb|vz:Ichidan verb - zuru verb (alternative form of -jiru verbs),"to forbid; to ban; to prohibit; to suppress (a feeling, laughter, etc.); to hold back (e.g. tears)",ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N1,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
ぐらい,ぐらい,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",waller,waller-derived,1,kana/loanword,approximately,fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N1,no,also written as 位,prt:particle|suf:suffix,approximately; about; around; or so; to (about) the extent that; (almost) enough that,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N1,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
決,けつ,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,lexical,"decision, vote",fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,,no,,n:noun (common) (futsuumeishi),decision; vote,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N1,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
行員,こういん,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,lexical,bank clerk,same-reading-different-writing,光陰|工員,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N1,no,abbr:abbreviation,n:noun (common) (futsuumeishi),bank clerk,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N1,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
混む,こむ,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,lexical,to be crowded,same-reading-different-writing,込む,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N1,no,,v5m:Godan verb with 'mu' ending|vi:intransitive verb,to be crowded; to be packed; to be congested; to be thronged (with),ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N1,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
御,ご,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,lexical,go-; honourable,same-reading-different-writing,五|後|碁|語,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N1,no,after a noun indicating a person | hon:honorific or respectful (sonkeigo) language | hum:humble (kenjougo) language | pol:polite (teineigo) language | uk:word usually written using kana alone | usu. before a term with an on-yomi reading,pref:prefix|suf:suffix,honorific/polite/humble prefix; honorific suffix,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N1,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
準ずる,じゅんずる,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,lexical,to apply correspondingly; to correspond to; to be proportionate to,fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N1,no,occ. as 順ずる,vi:intransitive verb|vz:Ichidan verb - zuru verb (alternative form of -jiru verbs),"to follow (a rule, precedent, etc.); to conform to (the law, standards, etc.); to be based on; to apply correspondingly; to be proportionate to; to correspond to",ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N1,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
状,じょう,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,lexical,shape,same-reading-different-writing,上|場|嬢|情|畳,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N1,no,,"n-suf:noun, used as a suffix|n:noun (common) (futsuumeishi)",form; shape; appearance; state; condition; circumstances,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N1,estimated-source-backed,no-reliable-traditional-chinese-meaning-after-full-source-scan
