word,reading,consensus_level,level_votes,family_level_votes,reference_sources,reference_families,support_count,candidate_type,example_meaning,relation_type,same_reading_current_forms,same_word_current_readings,jmdict_current_forms,jmdict_current_readings,jmdict_current_levels,jmdict_all_forms,jmdict_resolved,evidence_confidence,jmdict_exact_form_reading,jmdict_writing_common,jmdict_reading_common,jmdict_waller_levels,level_conflict_with_jmdict_waller,jmdict_tags,jmdict_pos,jmdict_gloss,quality_decision,priority,quality_reason,defer_reason
局,きょく,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,court lady; lady in waiting,same-reading-different-writing,曲,,,,,,yes,HIGH,yes,yes,yes,N3,no,abbr:abbreviation,"ctr:counter|n-suf:noun, used as a suffix|n:noun (common) (futsuumeishi)","bureau; department; office (e.g. post, telephone); broadcasting station (e.g. television, radio); channel; exchange",ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
訓,くん,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,native Japanese reading of a Chinese character,same-reading-different-writing,君,,,,,,yes,HIGH,yes,yes,yes,N3,no,,n:noun (common) (futsuumeishi)|suf:suffix,native Japanese reading of a Chinese character; precept; lesson; one's teachings,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
刑,けい,N3,"{""N1"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,penalty; sentence; punishment,same-reading-different-writing,系|計,,,,,,yes,HIGH,yes,yes,yes,N1,yes,,"n-suf:noun, used as a suffix|n:noun (common) (futsuumeishi)",penalty; sentence; punishment,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.,no-reliable-traditional-chinese-meaning
航海,こうかい,N3,"{""N1"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,sail; voyage,same-reading-different-writing,公開|後悔,,,,,,yes,HIGH,yes,yes,yes,N1,yes,,n:noun (common) (futsuumeishi)|vi:intransitive verb|vs:noun or participle which takes the aux. verb suru,(sea) voyage; navigation; sailing; passage; cruise,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.,no-reliable-traditional-chinese-meaning
作,さく,N3,"{""N1"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,a work; a harvest,same-reading-different-writing,咲く|柵|策|裂く,,,,,,yes,HIGH,yes,yes,yes,N1,yes,,"n-suf:noun, used as a suffix|n:noun (common) (futsuumeishi)",work (e.g. of art); piece; production; harvest; crop; yield,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.,no-reliable-traditional-chinese-meaning
射す,さす,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to shine; to strike,same-reading-different-writing,刺す|差す|指す|挿す,,,,,,yes,HIGH,yes,yes,yes,N2,yes,,v5s:Godan verb with 'su' ending|vi:intransitive verb,to shine,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.,no-reliable-traditional-chinese-meaning
注す,さす,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to pour (drink); to serve (drinks),same-reading-different-writing,刺す|差す|指す|挿す,,,,,,yes,HIGH,yes,yes,yes,N2,yes,esp. 注す | esp. 点す | uk:word usually written using kana alone,v5s:Godan verb with 'su' ending|vt:transitive verb,"to pour; to add (liquid); to serve (drinks); to put on (lipstick, etc.); to apply; to colour",ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.,no-reliable-traditional-chinese-meaning
死亡,しぼう,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,death; mortality,same-reading-different-writing,志望|脂肪,,,,,,yes,HIGH,yes,yes,yes,N3,no,,n:noun (common) (futsuumeishi)|vi:intransitive verb|vs:noun or participle which takes the aux. verb suru,death; dying; mortality,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
住,じゅう,N3,"{""N1"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,dwelling; living,same-reading-different-writing,中|十|銃,,,,,,yes,HIGH,yes,yes,yes,N1,yes,,n:noun (common) (futsuumeishi),dwelling; living,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.,no-reliable-traditional-chinese-meaning
女史,じょし,N3,"{""N1"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,Ms.,same-reading-different-writing,助詞|女子,,,,,,yes,HIGH,yes,yes,yes,N1,yes,hon:honorific or respectful (sonkeigo) language,"n-suf:noun, used as a suffix|n:noun (common) (futsuumeishi)","lady (of high social status; e.g. scholar, artist, critic, politician); Ms; Mrs; Miss",ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.,no-reliable-traditional-chinese-meaning
水洗,すいせん,N3,"{""N1"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,flushing,same-reading-different-writing,推薦,,,,,,yes,HIGH,yes,yes,yes,N1,yes,,n:noun (common) (futsuumeishi)|vs:noun or participle which takes the aux. verb suru|vt:transitive verb,washing with water; rinsing; flushing,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.,no-reliable-traditional-chinese-meaning
生長,せいちょう,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,growth; increment,same-reading-different-writing,成長|清澄|清聴,,,,,,yes,HIGH,yes,yes,yes,N2,yes,,n:noun (common) (futsuumeishi)|vi:intransitive verb|vs:noun or participle which takes the aux. verb suru,growth (of a plant),ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.,no-reliable-traditional-chinese-meaning
膳,ぜん,N3,"{""N1"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,(small) table; tray; meal,same-reading-different-writing,全|前|善|禅,,,,,,yes,HIGH,yes,yes,yes,N1,yes,,ctr:counter|n:noun (common) (futsuumeishi),small dining table (usu. for a single person); serving tray (with legs); meal; food; serving; counter for bowlfuls of rice,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.,no-reliable-traditional-chinese-meaning
他,た,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,other (esp. places and things),same-reading-different-writing|same-writing-different-reading,田,ほか,,,,,yes,HIGH,yes,yes,yes,N3,no,,adj-no:nouns which may take the genitive case particle 'no'|adv:adverb (fukushi)|n:noun (common) (futsuumeishi),other (esp. people and abstract matters),ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
宅,たく,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,house; home; husband,same-reading-different-writing,卓|炊く|焚く,,,,,,yes,HIGH,yes,yes,yes,N3,no,,"n-suf:noun, used as a suffix|n:noun (common) (futsuumeishi)",house; home; one's house; one's home; one's husband,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
不,ふ,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,un; non; negative prefix,same-reading-different-writing,府|負,,,,,,yes,HIGH,yes,yes,yes,N3,no,,pref:prefix,un-; non-,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
不通,ふつう,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,suspension; interruption; stoppage,same-reading-different-writing,普通,,,,,,yes,HIGH,yes,yes,yes,N2,yes,,n:noun (common) (futsuumeishi),suspension; interruption; stoppage; tie-up; cessation,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.,no-reliable-traditional-chinese-meaning
有機,ゆうき,N3,"{""N1"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,organic,same-reading-different-writing,勇気,,,,,,yes,HIGH,yes,yes,yes,N1,yes,abbr:abbreviation,adj-f:noun or verb acting prenominally|n:noun (common) (futsuumeishi),organic; organic chemistry; organic compound,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.,no-reliable-traditional-chinese-meaning
一斉,いっせい,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,simultaneous; all at once,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,,adv:adverb (fukushi)|n:noun (common) (futsuumeishi),simultaneous; all at once,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
英和,えいわ,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,English-Japanese (e.g. dictionary),fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,abbr:abbreviation,n:noun (common) (futsuumeishi),English-Japanese; English-Japanese dictionary,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
王女,おうじょ,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,princess,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,,n:noun (common) (futsuumeishi),princess,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
応ずる,おうずる,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to answer; to respond; to meet,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,,vi:intransitive verb|vz:Ichidan verb - zuru verb (alternative form of -jiru verbs),to answer; to respond; to meet; to satisfy; to accept,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
お先に,おさきに,N2,"{""N1"": 1, ""N2"": 1}","{""community-independent"": ""N2"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,before; ahead; previously,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,abbr:abbreviation | pol:polite (teineigo) language,"adv:adverb (fukushi)|exp:expressions (phrases, clauses, etc.)",before; previously; ahead; pardon me for leaving (before you),ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
お休み,おやすみ,N2,"{""N1"": 1, ""N2"": 1}","{""community-independent"": ""N2"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,holiday; absence; rest,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,abbr:abbreviation | hon:honorific or respectful (sonkeigo) language | pol:polite (teineigo) language | uk:word usually written using kana alone,int:interjection (kandoushi)|n:noun (common) (futsuumeishi),holiday; day off; absence; sleep; rest; good night,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
書取,かきとり,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,dictation,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,,n:noun (common) (futsuumeishi),writing down from other written material; writing kanji text from hiragana; transcription (of spoken material); dictation,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
かしこまりました,かしこまりました,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,certainly!,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,"in response to a request or instructions from a superior, customer, etc. | pol:polite (teineigo) language | uk:word usually written using kana alone","exp:expressions (phrases, clauses, etc.)",certainly!; very well; with pleasure; understood!,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
間接,かんせつ,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,indirection; indirectness,same-reading-different-writing,関節,,,,,,yes,HIGH,yes,yes,yes,N2,no,,adj-no:nouns which may take the genitive case particle 'no'|n:noun (common) (futsuumeishi),indirection; indirectness,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
形容詞,けいようし,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,true adjective,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,,n:noun (common) (futsuumeishi),adjective; i-adjective (in Japanese),ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
耕地,こうち,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,arable land,same-reading-different-writing,高地,,,,,,yes,HIGH,yes,yes,yes,N2,no,bra:Brazilian,n:noun (common) (futsuumeishi),arable land; plantation; farmland; fazenda; hacienda; large estate,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
ご苦労様,ごくろうさま,N2,"{""N1"": 1, ""N2"": 1}","{""community-independent"": ""N2"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,Thank you very much for your....,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,pol:polite (teineigo) language | usu. to one's subordinate,"adj-na:adjectival nouns or quasi-adjectives (keiyodoshi)|exp:expressions (phrases, clauses, etc.)",thank you (for your hard work); I appreciate your efforts,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
生ずる,しょうずる,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to cause; to arise; to be generated,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,生ずる is more literary than 生じる,vi:intransitive verb|vt:transitive verb|vz:Ichidan verb - zuru verb (alternative form of -jiru verbs),to produce; to yield; to cause; to result from; to arise; to be generated,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
信ずる,しんずる,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to believe; to believe in; to place trust in,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,,vt:transitive verb|vz:Ichidan verb - zuru verb (alternative form of -jiru verbs),to believe; to believe in; to place trust in; to confide in; to have faith in,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
寝台,しんだい,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,bed; couch,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,,n:noun (common) (futsuumeishi),bed; couch,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
助教授,じょきょうじゅ,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,assistant professor,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,,n:noun (common) (futsuumeishi),assistant professor; associate professor,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
専制,せんせい,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,despotism; autocracy,same-reading-different-writing,先生|宣誓,,,,,,yes,HIGH,yes,yes,yes,N2,no,,adj-no:nouns which may take the genitive case particle 'no'|n:noun (common) (futsuumeishi)|vs:noun or participle which takes the aux. verb suru,despotism; autocracy,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
ゼミ,ゼミ,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,(n) seminar,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,abbr:abbreviation,n:noun (common) (futsuumeishi),seminar,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
全集,ぜんしゅう,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,complete works,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,,"n-suf:noun, used as a suffix|n:noun (common) (futsuumeishi)",complete works; complete collection; complete series,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
草履,ぞうり,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,zoori (Japanese footwear); sandals,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,,n:noun (common) (futsuumeishi),zori; traditional Japanese thonged sandals,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
地点,ちてん,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,site; point on a map,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,,n:noun (common) (futsuumeishi),spot; point; place; position,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
抽象,ちゅうしょう,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,abstract,same-reading-different-writing,中傷,,,,,,yes,HIGH,yes,yes,yes,N2,no,,n:noun (common) (futsuumeishi)|vs:noun or participle which takes the aux. verb suru|vt:transitive verb,abstraction,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
長短,ちょうたん,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,length; long and short; +-,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,,n:noun (common) (futsuumeishi),(relative) length; advantages and disadvantages; pluses and minuses; strong and weak points; merits and demerits,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
