word,reading,consensus_level,level_votes,family_level_votes,reference_sources,reference_families,support_count,candidate_type,example_meaning,relation_type,same_reading_current_forms,same_word_current_readings,jmdict_current_forms,jmdict_current_readings,jmdict_current_levels,jmdict_all_forms,jmdict_resolved,evidence_confidence,jmdict_exact_form_reading,jmdict_writing_common,jmdict_reading_common,jmdict_waller_levels,level_conflict_with_jmdict_waller,jmdict_tags,jmdict_pos,jmdict_gloss,quality_decision,priority,quality_reason
うなる,うなる,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,"to groan,to moan",same-reading-different-writing|same-jmdict-entry,唸る,,唸る,うなる,N3,うなる|呻る|唸る,yes,HIGH,yes,yes,yes,N3,no,,v5r:Godan verb with 'ru' ending|vi:intransitive verb|vt:transitive verb,"to groan; to moan; to roar; to howl; to growl; to hum (engine, wind, etc.)",ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
産む,うむ,N3,"{""N1"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to give birth; to deliver; to produce,same-reading-different-writing|same-jmdict-entry,有無|生む,,生む,うむ,N4,うむ|生む|産む,yes,HIGH,yes,yes,yes,N1,yes,,v5m:Godan verb with 'mu' ending|vt:transitive verb,to give birth; to bear (child); to lay (eggs); to produce; to yield; to give rise to,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.
押える,おさえる,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to stop; to restrain; to seize,same-reading-different-writing|same-jmdict-entry,抑える|押さえる,,押さえる,おさえる,N3,おさえる|圧さえる|押える|押さえる,yes,HIGH,yes,no,yes,N2,yes,also written as 圧さえる,v1:Ichidan verb|vt:transitive verb,to pin down; to hold down; to press down; to hold in place; to hold steady; to cover (esp. a part of one's body with one's hand),ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.
治める,おさめる,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,(1) to govern; to manage; (2) to subdue,same-reading-different-writing,修める|収める|納める,,,,,,yes,HIGH,yes,yes,yes,N2,yes,,v1:Ichidan verb|vt:transitive verb,to rule; to govern; to reign over; to administer; to manage (e.g. a household); to subdue,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.
泳ぎ,およぎ,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,swimming,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N3,no,,n:noun (common) (futsuumeishi),swimming,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
下す,おろす,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to lower; to let go down,same-reading-different-writing|same-writing-different-reading|same-jmdict-entry,下ろす|卸す,くだす,下ろす,おろす,N3,おろす|下す|下ろす|降ろす,yes,HIGH,yes,no,yes,N3,no,esp. 降ろす | io:irregular okurigana usage,v5s:Godan verb with 'su' ending|vt:transitive verb,"to take down; to bring down; to lower (a hand, flag, shutter, etc.); to drop (an anchor, curtain, etc.); to let down (hair); to launch (a boat)",ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
降ろす,おろす,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to take down; to launch; to drop,same-reading-different-writing|same-jmdict-entry,下ろす|卸す,,下ろす,おろす,N3,おろす|下す|下ろす|降ろす,yes,HIGH,yes,yes,yes,N3,no,esp. 降ろす,v5s:Godan verb with 'su' ending|vt:transitive verb,"to take down; to bring down; to lower (a hand, flag, shutter, etc.); to drop (an anchor, curtain, etc.); to let down (hair); to launch (a boat)",ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
反る,かえる,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to warp; to be warped; to curve,same-reading-different-writing|same-writing-different-reading|same-jmdict-entry,代える|変える|孵[かえ]る|孵る|帰る|換える|替える|蛙|蛙[かえる]|返る,そる,返る,かえる,N3,かえる|反る|返る,yes,HIGH,yes,yes,yes,N2,yes,after the -masu stem of a verb; esp. 返る | esp. 返る,suf:suffix|v5r:Godan verb with 'ru' ending|vi:intransitive verb,to return; to come back; to go back; to turn over; to become extremely; to become completely,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.
課程,かてい,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,course; curriculum,same-reading-different-writing,仮定|家庭|過程,,,,,,yes,HIGH,yes,yes,yes,N2,yes,,n:noun (common) (futsuumeishi),course; curriculum,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.
かもしれない,かもしれない,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,"may,might,perhaps,may be,possibly",same-reading-different-writing|same-jmdict-entry,かも知れない,,かも知れない,かもしれない,N3,かもしれない|かも知れない,yes,HIGH,yes,yes,yes,N3,no,uk:word usually written using kana alone,"exp:expressions (phrases, clauses, etc.)",may; might; perhaps; may be; possibly,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
代る,かわる,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,(v5r; vi) to take the place of; to relieve,same-reading-different-writing|same-jmdict-entry,代わる|変わる|替わる,,代わる|替わる,かわる,N2|N4,かわる|代る|代わる|換る|換わる|替る|替わる,yes,HIGH,yes,no,yes,N2,yes,"esp. 代わる, 代る | esp. 換わる, 換る | esp. 替わる, 替る",v5r:Godan verb with 'ru' ending|vi:intransitive verb,to succeed; to relieve; to replace; to take the place of; to substitute for; to take over for,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.
カー,カー,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,car,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N3,no,,n:noun (common) (futsuumeishi),car,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
季刊,きかん,N3,"{""N1"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,quarterly (e.g. magazine),same-reading-different-writing,器官|帰還|期間|機関|気管,,,,,,yes,HIGH,yes,yes,yes,N1,yes,,adj-no:nouns which may take the genitive case particle 'no'|n:noun (common) (futsuumeishi),quarterly publication,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.
気付く,きづく,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to notice; to recognize; to become aware of,same-reading-different-writing|same-jmdict-entry,気づく,,気づく,きづく,N4,きずく|きづく|気ずく|気づく|気付く|気附く,yes,HIGH,yes,yes,yes,N3,no,,v5k:Godan verb with 'ku' ending|vi:intransitive verb,to notice; to realize; to realise; to become aware (of); to perceive; to sense,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
局,きょく,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,court lady; lady in waiting,same-reading-different-writing,曲,,,,,,yes,HIGH,yes,yes,yes,N3,no,abbr:abbreviation,"ctr:counter|n-suf:noun, used as a suffix|n:noun (common) (futsuumeishi)","bureau; department; office (e.g. post, telephone); broadcasting station (e.g. television, radio); channel; exchange",ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
訓,くん,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,native Japanese reading of a Chinese character,same-reading-different-writing,君,,,,,,yes,HIGH,yes,yes,yes,N3,no,,n:noun (common) (futsuumeishi)|suf:suffix,native Japanese reading of a Chinese character; precept; lesson; one's teachings,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
刑,けい,N3,"{""N1"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,penalty; sentence; punishment,same-reading-different-writing,系|計,,,,,,yes,HIGH,yes,yes,yes,N1,yes,,"n-suf:noun, used as a suffix|n:noun (common) (futsuumeishi)",penalty; sentence; punishment,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.
航海,こうかい,N3,"{""N1"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,sail; voyage,same-reading-different-writing,公開|後悔,,,,,,yes,HIGH,yes,yes,yes,N1,yes,,n:noun (common) (futsuumeishi)|vi:intransitive verb|vs:noun or participle which takes the aux. verb suru,(sea) voyage; navigation; sailing; passage; cruise,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.
今日,こんにち,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,today; this day,same-writing-different-reading|same-jmdict-entry,,きょう,きょう|今日,きょう,N1|N5,きょう|こんじつ|こんち|こんにち|今日,yes,HIGH,yes,yes,yes,N5,yes,,adv:adverb (fukushi)|n:noun (common) (futsuumeishi),today; this day; these days; recently; nowadays,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.
作,さく,N3,"{""N1"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,a work; a harvest,same-reading-different-writing,咲く|柵|策|裂く,,,,,,yes,HIGH,yes,yes,yes,N1,yes,,"n-suf:noun, used as a suffix|n:noun (common) (futsuumeishi)",work (e.g. of art); piece; production; harvest; crop; yield,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.
